Part;Value;Device;Package;Description;DATASHEET;DIGIKEY;ELEMENT14;OTHER;PROD_ID;SPICEPREFIX;TP_SIGNAL_NAME;URL;VALUE
Q2;DMG2305;MOSFET-P;SOT23-R;P-Channel Mosfet;;;;;;;;;
Q3;DMG2305;MOSFET-P;SOT23-R;P-Channel Mosfet;;;;;;;;;
R1;100k;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R2;100k;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R3;1K;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R4;1.1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;R;;;
R5;10mOhm;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;R;;;
R6;4k7;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R7;1K;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R8;100k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R9;4k7;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R10;10k;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R11;10k;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R12;5.1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;R;;;
R13;5.1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;R;;;
R14;68;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R15;68;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R16;1K;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R17;1K;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R18;47;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R19;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R20;100k;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R21;10;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R22;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R23;68;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
R26;1k;RESISTOR_0603_NOOUT;0603-NO;Resistors;;;;;;;;;
SCL;TPSQTP13R;TPSQTP13R;TP13R;Test pad;;;;;;;;;
SDA;TPSQTP13R;TPSQTP13R;TP13R;Test pad;;;;;;;;;
SJ1;;SOLDERJUMPER_2WAY-OLDS;SJ_3;Solder Jumper;;;;;;;;;
SJ2;;SOLDERJUMPER_2WAY-OLDS;SJ_3;Solder Jumper;;;;;;;;;
SJ3;;SOLDERJUMPER_2WAY-OLDS;SJ_3;Solder Jumper;;;;;;;;;
SJ4;;SJ;SJ;SMD solder JUMPER;;;;;;;;;
SJ5;;SOLDERJUMPER_2WAY-OLDS;SJ_3;Solder Jumper;;;;;;;;;
SJ7;SOLDERJUMPERTRACE;SOLDERJUMPERTRACE;SJ_2S-TRACE;Solder Jumper;;;;;;;;;
SJ8;SOLDERJUMPERTRACE;SOLDERJUMPERTRACE;SJ_2S-TRACE;Solder Jumper;;;;;;;;;
U$2;BUZZER;BUZZER;BUZZER;;9032 type;;;;;;;;
U$7;Q10KEYBOARD;Q10KEYBOARD;Q10KEYBOARD;;Hirose BM14B(0.8)-24DS-0.4V(53);;;;;;;;
U$10;AYF531035_SHARP_MEM_DISP;AYF531035_SHARP_MEM_DISP;AYF531035_Y5BW;;;;;;;;;;
U$14;NRF52840;NRF52840;NRF52840MOD;;;;;;;;;;
U$17;JST-SH-3;JST-SH-3;JST-SH-3;;;;;;;;;;
U$28;N-CHANNEL-MOSFET-BSS138;N-CHANNEL-MOSFET-BSS138;SOT23-3;N-Channel MOSFET Mode Field Effect Transistor;http://www.fairchildsemi.com/ds/BS/BSS138.pdf;BSS138TR-ND;2323154;;;;;http://au.element14.com/fairchild-semiconductor/bss138/mosfet-n-ch-50v-220ma-sot-23/dp/2323154;
U$36;SX1292-EBYTE;SX1292-EBYTE;SX1262_EBYTE;;;;;;;;;;
U$41;N-CHANNEL-MOSFET-BSS138;N-CHANNEL-MOSFET-BSS138;SOT23-3;N-Channel MOSFET Mode Field Effect Transistor;http://www.fairchildsemi.com/ds/BS/BSS138.pdf;BSS138TR-ND;2323154;;;;;http://au.element14.com/fairchild-semiconductor/bss138/mosfet-n-ch-50v-220ma-sot-23/dp/2323154;
U$45;SWITCH_SPDT;SWITCH_SPDT;KPS-1290;SWCH-10651;;;;;SWCH-10651;;;;
U$46;VIBRO;VIBRO;VIBRO;;;;;;10x4mm surface mount vibration motor;;;;
U$47;TP4056BETTER_TP4056;TP4056BETTER_TP4056;TP4056BETTER_SO-08;;;;;;;;;;
U$69;DS3231M;DS3231M;SO8;;;;;;;;;;
U$74;N-CHANNEL-MOSFET-BSS138;N-CHANNEL-MOSFET-BSS138;SOT23-3;N-Channel MOSFET Mode Field Effect Transistor;http://www.fairchildsemi.com/ds/BS/BSS138.pdf;BSS138TR-ND;2323154;;;;;http://au.element14.com/fairchild-semiconductor/bss138/mosfet-n-ch-50v-220ma-sot-23/dp/2323154;
U1;BQ27441-G1;BQ27441-G1;PDSO-N12;;;;;;IC-13220;;;;
U2;AP2112(3.3V);VREG_SOT23-5;SOT23-5;SOT23-5 Fixed Voltage Regulators;;;;;;;;;
U3;BME280;BME280;BME280;BME280 - Environmental Sensor (I2C + SPI);;;;;;;;;
U4;MPU-9250;MPU-9250;LEAD-QFN24;;;;;;;;;;
X1;JSTPH;CON_JST_PH_2PIN;JSTPH2;JST 2-Pin Right-Angle Connector;;;;;;;;;
X4;microsd;MICROSD;MICROSD;MicroSD/Transflash Card Holder with SPI pinout;;;;;;;;;
